title,description,genre
Inception,A thief who steals corporate secrets through dream-sharing.,Sci-Fi
Interstellar,A team travels through a wormhole in space in an attempt to ensure humanity's survival.,Sci-Fi
The Matrix,A computer hacker learns about the true nature of reality and his role in the war against its controllers.,Action
Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Romance
Avatar,A paraplegic Marine dispatched to the moon Pandora becomes torn between following orders and protecting an alien civilization.,Adventure
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.,Crime
Forrest Gump,The life journey of a slow-witted but kind-hearted man who unwittingly influences several historical events.,Drama
Gladiator,A former Roman general sets out to exact vengeance against the corrupt emperor who murdered his family.,Action
The Shawshank Redemption,Two imprisoned men bond over a number of years and find solace and eventual redemption.,Drama
The Dark Knight,"When the menace known as the Joker wreaks havoc on Gotham, Batman must accept one of the greatest psychological and physical tests.",Action
